name,type,comment
returnsindicatorfield3name,string,
returnsindicatorfield3value,boolean,
returnsindicatorfield4name,string,
returnsindicatorfield4value,boolean,
returnsindicatorfield5name,string,
returnsindicatorfield5value,boolean,
taxpayercode,string,
situscountry,string,
situsmaindivision,string,
situssubdivision,string,
situscity,string,
importtimestamp,timestamp,
importbatchid,int,
importfileid,int,
filingcompanycode,string,
filingdivisioncode,string,
filingdepartmentcode,string,
filinglevel,string,
buyrpartyclassname,string,
selrpartyclassname,string,
ownrpartyclassname,string,
recppartyclassname,string,
disppartyclassname,string,
filingoverridejurisdictiontypesetname,string,
filingoverridecategorycode,string,
transactiontypeid,int,
transprspctvtypeid,int,
movementmethodid,int,
simptypeid,int,
customsstatusid,int,
jurisdictiontypeid,int,
taximpsntypeid,int,
lineitemtaxid,int,
taxresulttypeid,int,
inputoutputtypeid,int,
lineitemtaxdetnum,int,
rateclassificationid,int,
taxstructuretypeid,int,
numoftiersontaxstructure,bigint,
taximpsnid,int,
commoditycodesrcid,int,
usedcommoditycode,string,
accumulationlocationcode,string,
contentcode,string,
customeraccumulationref,string,
directioncode,string,
linetypecode,string,
statuscode,string,
accumulateasjurisdictionid,int,
accumulateaslinetypecode,string,
accumulateaslinetypedtlid,int,
accumulateastaximpsndtlid,int,
accumulateastaximpsnsrcid,int,
accumulationruleid,int,
accumulationrulesrcid,int,
telecomunitcvnruleid,int,
telecomunitcvnrulesrcid,int,
sender,string,
buyrprimpartyname,string,
buyrscndpartyname,string,
buyrtrtrypartyname,string,
selrprimpartyname,string,
selrscndpartyname,string,
selrtrtrypartyname,string,
ownrprimpartyname,string,
ownrscndpartyname,string,
ownrtrtrypartyname,string,
watermark1,string,
uuid,string,
prodind,boolean,
tenantcode,string,
postingdate,date,
