name, type, nullable, uuid, notes, oversion, wtjversion
"dispRegCountryISO2Code","Code",1,,,,
"buyerPhysicalPresInd","Boolean",1,,,,
"sellerPhysicalPresInd","Boolean",1,,,,
"ownerPhysicalPresInd","Boolean",1,,,,
"recpPhysicalPresInd","Boolean",1,,,,
"dispPhysicalPresInd","Boolean",1,,,,
"inpTaxBlockingRecPct","Percent",1,,,,
"inpTaxPartialExemptRecPct","Percent",1,,,,
"recoverabilityRuleSrcId","Id",1,,,,
"recoverabilityRuleId","Id",1,,,,
"invoiceTextRuleSrcId","Id",1,,,"8.0",
"invoiceTextRuleId","Id",1,,,"8.0",
"summaryInvoiceText","Name",1,,,"8.0",
"taxInclusionRuleId","Id",0,,,"8.0",
"taxInclusionRuleSrcId","Id",1,,,"8.0",
"taxRuleCvtRateUsed","Percent",1,,,"8.0",
"maxRuleCvtRateUsed","Percent",1,,,"8.0",
"taxCreditRuleSrcId","Id",1,,,"8.0",
"taxCreditRuleId","Id",1,,,"8.0",
"basisApportionmentRuleSrcId","Id",1,,,"8.0",
"basisApportionmentRuleId","Id",1,,,"8.0",
"taxRateAdjustmentRuleId","Id",1,,,"8.0",
"taxRateAdjustmentRuleSourceId","Id",1,,,"8.0",
"taxApportionmentRuleId","Id",1,,,"8.0",
"taxApportionmentRuleSourceId","Id",1,,,"8.0",
"detailType","Type",0,,,,
"taxStrucSourceId","Id",1,,"Added late in 8.0 development for HVR",,"8.1"
"taxStrucId","Id",1,,"Added late in 8.0 development for HVR",,"8.1"
"taxStrucElementNumber","Number",1,,"Added late in 8.0 development for HVR",,"8.1"
"dedReasonCatId","Id",1,,,,
"dedReasonCatName","Name",1,,,,
"filingCategoryCode","Code",1,,,,
"filingCategoryName","Name",1,,,,
"taxAmount","Amount",0,,,,
"taxableAmount","Amount",0,,,,
"nontaxableAmount","Amount",0,,,,
"exemptAmount","Amount",1,,,,
"taxRate","Percent",0,,,,
"basisAmount","Amount",0,,,,
"filingTaxableAmount","Amount",1,,,,
"filingExemptAmount","Amount",1,,,,
"filingNontaxableAmount","Amount",1,,,,
"filingTaxAmt","Amount",1,,,,
"filingBasisAmount","Amount",1,,,,
"rateClassification","Code",1,,,,
"taxAmountBeforeCredit","Amount",0,,,"8.0",
"returnsCodeField1Name","Name",1,,,,
"returnsCodeField1Value","Code",1,,,,
"returnsCodeField2Name","Name",1,,,,
"returnsCodeField2Value","Code",1,,,,
"returnsCodeField3Name","Name",1,,,,
"returnsCodeField3Value","Code",1,,,,
"returnsCodeField4Name","Name",1,,,,
"returnsCodeField4Value","Code",1,,,,
"returnsCodeField5Name","Name",1,,,,
"returnsCodeField5Value","Code",1,,,,
"returnsNumericField1Name","Name",1,,,,
"returnsNumericField1Value","Amount",1,,,,
"returnsNumericField2Name","Name",1,,,,
"returnsNumericField2Value","Amount",1,,,,
"returnsNumericField3Name","Name",1,,,,
"returnsNumericField3Value","Amount",1,,,,
"returnsNumericField4Name","Name",1,,,,
"returnsNumericField4Value","Amount",1,,,,
"returnsNumericField5Name","Name",1,,,,
"returnsNumericField5Value","Amount",1,,,,
"returnsDateField1Name","Name",1,,,,
"returnsDateField1Value","Date",1,,,,
"returnsDateField2Name","Name",1,,,,
"returnsDateField2Value","Date",1,,,,
"returnsDateField3Name","Name",1,,,,
"returnsDateField3Value","Date",1,,,,
"returnsDateField4Name","Name",1,,,,
"returnsDateField4Value","Date",1,,,,
"returnsDateField5Name","Name",1,,,,
"returnsDateField5Value","Date",1,,,,
"returnsIndicatorField1Name","Name",1,,,,
"returnsIndicatorField1Value","Boolean",1,,,,
"returnsIndicatorField2Name","Name",1,,,,
"returnsIndicatorField2Value","Boolean",1,,,,
"returnsIndicatorField3Name","Name",1,,,,
"returnsIndicatorField3Value","Boolean",1,,,,
"returnsIndicatorField4Name","Name",1,,,,
"returnsIndicatorField4Value","Boolean",1,,,,
"returnsIndicatorField5Name","Name",1,,,,
"returnsIndicatorField5Value","Boolean",1,,,,
"filingCompanyCode","Code",1,,"Added late in 8.0 development for HVR",,"8.1"
"filingDivisionCode","Code",1,,"Added late in 8.0 development for HVR",,"8.1"
"filingDepartmentCode","Code",1,,"Added late in 8.0 development for HVR",,"8.1"
"filingLevel","Code",1,,"Added late in 8.0 development for HVR",,"8.1"
"buyrPartyClassName","Name",1,,"Added late in 8.0 development for HVR",,"8.1"
"selrPartyClassName","Name",1,,"Added late in 8.0 development for HVR",,"8.1"
"ownrPartyClassName","Name",1,,"Added late in 8.0 development for HVR",,"8.1"
"recpPartyClassName","Name",1,,"Added late in 8.0 development for HVR",,"8.1"
"dispPartyClassName","Name",1,,"Added late in 8.0 development for HVR",,"8.1"
"filingOverrideJurisdictionTypeSetName","Name",1,,"Added late in 8.0 development for HVR",,"8.1"
"filingOverrideCategoryCode","Code",1,,"Added late in 8.0 development for HVR",,"8.1"
"transactionTypeId","Id",1,,"Added late in 8.0 development for HVR",,"8.1"
"transPrspctvTypeId","Id",1,,"Added late in 8.0 development for HVR",,"8.1"
"movementMethodId","Id",1,,"Added late in 8.0 development for HVR",,"8.1"
"simpTypeId","Id",1,,"Added late in 8.0 development for HVR",,"8.1"
"customsStatusId","Id",1,,"Added late in 8.0 development for HVR",,"8.1"
"jurisdictionTypeId","Id",1,,"Added late in 8.0 development for HVR",,"8.1"
"taxImpsnTypeId","Id",1,,"Added late in 8.0 development for HVR",,"8.1"
"lineItemTaxId","Id",1,,"Added late in 8.0 development for HVR",,"8.1"
"taxResultTypeId","Id",1,,"Added late in 8.0 development for HVR",,"8.1"
"inputOutputTypeId","Id",1,,"Added late in 8.0 development for HVR",,"8.1"
"lineItemTaxDetNum","Id",1,,"Added late in 8.0 development for HVR",,"8.1"
"rateClassificationId","Id",1,,"Added late in 8.0 development for HVR",,"8.1"
"taxStructureTypeId","Id",0,,"Added late in 8.0 development for HVR",,"8.1"
"numOfTiersOnTaxStructure","Number",1,,"Added late in 8.0 development for HVR",,"8.1"
"taxImpsnId","Id",1,,"Add late in 8.1 dev for HVR",,"8.1"
"commodityCodeSrcID","Id",1,,"",,"9.0"
"usedCommodityCode","Code",1,,"",,"9.0"
"accumulationLocationCode","Code",1,,"",,"9.0"
"contentCode","Code",1,,"",,"9.0"
"customerAccumulationRef","Name",1,,"",,"9.0"
"directionCode","Code",1,,"",,"9.0"
"lineTypeCode","Code",1,,"",,"9.0"
"statusCode","Code",1,,"",,"9.0"
"accumulateAsJurisdictionId","Id",1,,"",,"9.0"
"accumulateAsLineTypeCode","Code",1,,"",,"9.0"
"accumulateAsLineTypeDtlId","Id",1,,"",,"9.0"
"accumulateAsTaxImpsnDtlId","Id",1,,"",,"9.0"
"accumulateAsTaxImpsnSrcId","Id",1,,"",,"9.0"
"accumulationRuleId","Id",1,,"",,"9.0"
"accumulationRuleSrcId","Id",1,,"",,"9.0"
"telecomUnitCvnRuleId","Id",1,,"",,"9.0"
"telecomUnitCvnRuleSrcId","Id",1,,"",,"9.0"
"sender","Name",1,,"",,"9.0"
"buyrPrimPartyName","Name",1,,"",,"9.0"
"buyrScndPartyName","Name",1,,"",,"9.0"
"buyrTrtryPartyName","Name",1,,"",,"9.0"
"selrPrimPartyName","Name",1,,"",,"9.0"
"selrScndPartyName","Name",1,,"",,"9.0"
"selrTrtryPartyName","Name",1,,"",,"9.0"
"ownrPrimPartyName","Name",1,,"",,"9.0"
"ownrScndPartyName","Name",1,,"",,"9.0"
"ownrTrtryPartyName","Name",1,,"",,"9.0"
"watermark1","Name",1,,"",,"9.0"
"uuid","Code",1,,"",,"9.0"
"prodInd","Boolean",1,,"",,"9.0"
